Testing Kafka

9128442 records sent, 1825688.4 records/sec (17.41 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9017443 records sent, 1803488.6 records/sec (17.20 MB/sec), 0.7 ms avg latency, 14.0 max latency.
9063583 records sent, 1812716.6 records/sec (17.29 MB/sec), 0.7 ms avg latency, 9.0 max latency.
9043148 records sent, 1808629.6 records/sec (17.25 MB/sec), 0.7 ms avg latency, 9.0 max latency.
9042547 records sent, 1808509.4 records/sec (17.25 MB/sec), 0.7 ms avg latency, 12.0 max latency.
1000000000 records sent, 1605510.110700 records/sec (15.31 MB/sec), 1.29 ms avg latency, 336.00 ms max latency, 1 ms 50th, 2 ms 95th, 6 ms 99th, 128 ms 99.9th.

Throughput Value 10000000 Num-Records: 1000
1000 records sent, 5780.346821 records/sec (0.06 MB/sec), 2.29 ms avg latency, 149.00 ms max latency, 1 ms 50th, 8 ms 95th, 9 ms 99th, 149 ms 99.9th.

Throughput Value 10000000 Num-Records: 10000
10000 records sent, 43290.043290 records/sec (0.41 MB/sec), 1.56 ms avg latency, 152.00 ms max latency, 1 ms 50th, 2 ms 95th, 5 ms 99th, 10 ms 99.9th.

Throughput Value 10000000 Num-Records: 100000
100000 records sent, 218818.380744 records/sec (2.09 MB/sec), 1.29 ms avg latency, 148.00 ms max latency, 1 ms 50th, 2 ms 95th, 5 ms 99th, 6 ms 99.9th.

Throughput Value 10000000 Num-Records: 1000000
1000000 records sent, 744047.619048 records/sec (7.10 MB/sec), 0.99 ms avg latency, 148.00 ms max latency, 1 ms 50th, 2 ms 95th, 5 ms 99th, 14 ms 99.9th.

Throughput Value 10000000 Num-Records: 10000000
6619096 records sent, 1323819.2 records/sec (12.62 MB/sec), 0.8 ms avg latency, 153.0 max latency.
10000000 records sent, 1455392.228206 records/sec (13.88 MB/sec), 0.77 ms avg latency, 153.00 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 5 ms 99.9th.

Throughput Value 10000000 Num-Records: 100000000
6133267 records sent, 1226653.4 records/sec (11.70 MB/sec), 0.9 ms avg latency, 151.0 max latency.
8922221 records sent, 1784444.2 records/sec (17.02 MB/sec), 0.8 ms avg latency, 14.0 max latency.
9212384 records sent, 1842476.8 records/sec (17.57 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9198351 records sent, 1839670.2 records/sec (17.54 MB/sec), 0.7 ms avg latency, 9.0 max latency.
8978613 records sent, 1795722.6 records/sec (17.13 MB/sec), 0.8 ms avg latency, 33.0 max latency.
9172985 records sent, 1834597.0 records/sec (17.50 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9184206 records sent, 1836841.2 records/sec (17.52 MB/sec), 0.7 ms avg latency, 10.0 max latency.
9115714 records sent, 1823142.8 records/sec (17.39 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9186156 records sent, 1837231.2 records/sec (17.52 MB/sec), 0.7 ms avg latency, 14.0 max latency.
9147582 records sent, 1829516.4 records/sec (17.45 MB/sec), 0.7 ms avg latency, 13.0 max latency.
9133720 records sent, 1826744.0 records/sec (17.42 MB/sec), 0.7 ms avg latency, 13.0 max latency.
100000000 records sent, 1772483.959020 records/sec (16.90 MB/sec), 0.72 ms avg latency, 151.00 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 8 ms 99.9th.

Throughput Value 10000000 Num-Records: 1000000000
6266776 records sent, 1253355.2 records/sec (11.95 MB/sec), 0.9 ms avg latency, 150.0 max latency.
9194083 records sent, 1838816.6 records/sec (17.54 MB/sec), 0.7 ms avg latency, 8.0 max latency.
8987934 records sent, 1797586.8 records/sec (17.14 MB/sec), 0.7 ms avg latency, 8.0 max latency.
8651520 records sent, 1730304.0 records/sec (16.50 MB/sec), 0.8 ms avg latency, 7.0 max latency.
8910430 records sent, 1782086.0 records/sec (17.00 MB/sec), 0.8 ms avg latency, 12.0 max latency.
6990666 records sent, 1398133.2 records/sec (13.33 MB/sec), 1.2 ms avg latency, 25.0 max latency.
7052034 records sent, 1410406.8 records/sec (13.45 MB/sec), 1.5 ms avg latency, 22.0 max latency.
7594040 records sent, 1518808.0 records/sec (14.48 MB/sec), 1.1 ms avg latency, 20.0 max latency.
7346823 records sent, 1469364.6 records/sec (14.01 MB/sec), 1.1 ms avg latency, 16.0 max latency.
8248763 records sent, 1649752.6 records/sec (15.73 MB/sec), 0.9 ms avg latency, 11.0 max latency.
9062195 records sent, 1812439.0 records/sec (17.28 MB/sec), 0.7 ms avg latency, 19.0 max latency.
7452911 records sent, 1490582.2 records/sec (14.22 MB/sec), 1.3 ms avg latency, 20.0 max latency.
8477888 records sent, 1695577.6 records/sec (16.17 MB/sec), 0.8 ms avg latency, 8.0 max latency.
9112877 records sent, 1822575.4 records/sec (17.38 MB/sec), 0.7 ms avg latency, 13.0 max latency.
7745898 records sent, 1549179.6 records/sec (14.77 MB/sec), 1.1 ms avg latency, 23.0 max latency.
8052711 records sent, 1610542.2 records/sec (15.36 MB/sec), 1.0 ms avg latency, 17.0 max latency.
8950872 records sent, 1790174.4 records/sec (17.07 MB/sec), 0.7 ms avg latency, 15.0 max latency.
9023279 records sent, 1804655.8 records/sec (17.21 MB/sec), 0.7 ms avg latency, 8.0 max latency.
8143518 records sent, 1628703.6 records/sec (15.53 MB/sec), 0.8 ms avg latency, 12.0 max latency.
8811748 records sent, 1762349.6 records/sec (16.81 MB/sec), 0.7 ms avg latency, 13.0 max latency.
8531964 records sent, 1706392.8 records/sec (16.27 MB/sec), 0.8 ms avg latency, 10.0 max latency.
8040605 records sent, 1608121.0 records/sec (15.34 MB/sec), 1.0 ms avg latency, 18.0 max latency.
