Testing Kafka

500050 records sent, 100010.0 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500099 records sent, 100019.8 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500101 records sent, 100000.2 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500200 records sent, 100000.0 records/sec (0.95 MB/sec), 0.6 ms avg latency, 10.0 max latency.
500100 records sent, 100020.0 records/sec (0.95 MB/sec), 0.7 ms avg latency, 25.0 max latency.
500000 records sent, 100000.0 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500600 records sent, 100100.0 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500200 records sent, 100020.0 records/sec (0.95 MB/sec), 0.7 ms avg latency, 8.0 max latency.
10000000 records sent, 99989.001210 records/sec (0.95 MB/sec), 0.66 ms avg latency, 150.00 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 9 ms 99.9th.

Throughput Value 1000000 Num-Records: 1000
1000 records sent, 5617.977528 records/sec (0.05 MB/sec), 3.17 ms avg latency, 152.00 ms max latency, 2 ms 50th, 9 ms 95th, 10 ms 99th, 152 ms 99.9th.

Throughput Value 1000000 Num-Records: 10000
10000 records sent, 40485.829960 records/sec (0.39 MB/sec), 3.12 ms avg latency, 151.00 ms max latency, 3 ms 50th, 6 ms 95th, 7 ms 99th, 11 ms 99.9th.

Throughput Value 1000000 Num-Records: 100000
100000 records sent, 168350.168350 records/sec (1.61 MB/sec), 1.78 ms avg latency, 152.00 ms max latency, 1 ms 50th, 5 ms 95th, 7 ms 99th, 9 ms 99.9th.

Throughput Value 1000000 Num-Records: 1000000
1000000 records sent, 589970.501475 records/sec (5.63 MB/sec), 1.48 ms avg latency, 156.00 ms max latency, 1 ms 50th, 3 ms 95th, 13 ms 99th, 22 ms 99.9th.

Throughput Value 1000000 Num-Records: 10000000
4996861 records sent, 999372.2 records/sec (9.53 MB/sec), 1.1 ms avg latency, 158.0 max latency.
5000272 records sent, 1000054.4 records/sec (9.54 MB/sec), 1.0 ms avg latency, 14.0 max latency.
10000000 records sent, 998901.208670 records/sec (9.53 MB/sec), 1.00 ms avg latency, 158.00 ms max latency, 1 ms 50th, 2 ms 95th, 4 ms 99th, 8 ms 99.9th.
